area_type,availability,size,total_sqft,location,bath,LONGITUDE,LATITUDE,balcony,price
Super built-up  Area,Ready To Move,3,2293.077091,"Kharadi,Pune",2,18.5438,73.9438,1,210
Super built-up  Area,Ready To Move,2,1146.480331,"Sector-8 Ulwe,Lalitpur",2,19.216097,72.821721,3,88.6
Built-up  Area,Ready To Move,4,2224.059764,"Goregaon (East),Lalitpur",3,19.1615,72.8731,3,780
Built-up  Area,Ready To Move,2,759.8784195,"Joka,Kolkata",1,22.452032,88.298947,0,30
Built-up  Area,Ready To Move,4,2260.251857,"Wilson Garden,Bangalore",6,12.9506,77.5952,3,140
Super built-up  Area,Ready To Move,3,767.0182167,"DN Nagar,Maharashtra",2,20.742166,80.104602,2,240
Built-up  Area,18-Oct,4,2500,"Ramprastha,Ghaziabad",,28.66667,77.41667,,160
Super built-up  Area,19-Mar,4,2286.236854,"Gomti Nagar Extension,Lucknow",2,21,77,2,100
Super built-up  Area,Ready To Move,2,1150.086256,"Sector-74 Noida,Noida",2,28.577673,77.389781,2,60
Super built-up  Area,Ready To Move,2,1004.932182,"New Panvel,Mumbai",5,18.966114,73.148278,2,81.5
Built-up  Area,Ready To Move,2,800,"Prantik,Kolkata",7,22.56972,88.36972,2,34
Super built-up  Area,Ready To Move,3,993.75,"Subhas Pally,Siliguri",3,26.706157,88.439748,2,31.8
Super built-up  Area,17-Sep,2,1298.139334,"Jatkhedi,Bhopal",2,23.169982,77.477889,2,30
Super built-up  Area,Ready To Move,2,996.797438,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,2,24.9
Plot  Area,Ready To Move,2,985.0194952,"CV Raman Nagar,Bangalore",6,12.98556,77.66389,3,48
Built-up  Area,Ready To Move,3,1118.75,"Medavakkam,Chennai",2,12.91716,80.19287,2,53.7
Super built-up  Area,18-Dec,2,889.8305085,"Sector-137 Noida,Noida",2,28.506454,77.409568,1,42
Super built-up  Area,Ready To Move,3,2738.22563,"Basapura,Bangalore",2,12.863421,77.652405,2,150
Plot  Area,Ready To Move,4,1725.490196,"Deonar,Maharashtra",4,19.049513,72.919204,2,440
Super built-up  Area,17-Aug,3,2488.004265,"Sector-82 Mohali,Mohali",2,30.654128,76.732427,3,140
Super built-up  Area,Ready To Move,3,1200.082764,"Satgachi,Kolkata",3,23.207157,88.404471,2,58
Plot  Area,Ready To Move,2,1584.283904,"Tilak Nagar,Kanpur",4,26.459137,79.506922,1,100
Super built-up  Area,Ready To Move,2,900,"Kalol,Gandhinagar",2,23.2257,72.51679,1,18
Built-up  Area,Ready To Move,2,1193.440032,"Talegaon,Pune",2,18.441256,74.647361,1,60.4
Built-up  Area,Ready To Move,2,1487.357462,"Mansarovar Extension,Jaipur",3,26.8626,75.7633,1,30
Super built-up  Area,Ready To Move,2,989.9029895,"Sector-143 Noida,Noida",3,28.5035,77.426447,3,50
Built-up  Area,Ready To Move,2,1155.020213,"Bhandup (West),Maharashtra",1,19.147866,72.932609,1,140
Plot  Area,Ready To Move,2,949.893137,"Eswaran Koil Street,Pondicherry",2,11.93,79.83,1,80
Super built-up  Area,Ready To Move,2,875,"Sector-78 Noida,Noida",2,28.560719,77.386208,2,49
Super built-up  Area,Ready To Move,2,853.3611982,"Ananth Nagar,Bangalore",2,12.96991,77.59796,2,24.5
Super built-up  Area,Ready To Move,1,483.0917874,"Roha,Raigad",2,18.4543,73.1147,2,18
Built-up  Area,Ready To Move,2,800,"Thane West,Maharashtra",2,19.18,72.96333,1,95
Built-up  Area,Ready To Move,2,802.0415603,"Ankur Vihar,Ghaziabad",3,28.66667,77.41667,2,22
Built-up  Area,Ready To Move,2,610.0660905,"Koyambedu,Chennai",2,13.069866,80.198423,2,48
Super built-up  Area,19-Apr,3,1680.107527,"Naveen Nagar,Kanpur",2,28.861993,78.756315,2,75
Super built-up  Area,Ready To Move,2,1150.136038,"Nirman Nagar,Jaipur",3,19.980678,79.297436,3,93
Super built-up  Area,Ready To Move,3,1550.114497,"Sector-75 Noida,Noida",2,28.576117,77.382136,2,88
Super built-up  Area,Ready To Move,5,1699.834163,"Sahibabad,Ghaziabad",2,28.6711,77.3683,1,82
Super built-up  Area,Ready To Move,3,1600.170685,"Tripunithura,Kochi",2,9.952439,76.3632965,1,75
Built-up  Area,Ready To Move,1,600.0566091,"Pen,Raigad",4,18.75,73.08,1,21.2
Built-up  Area,Ready To Move,2,1429.200617,"Sector-66A Mohali,Mohali",3,30.661104,76.746082,2,64.9
Super built-up  Area,Ready To Move,2,1115.137998,"Dodda Banaswadi,Bangalore",2,13.008071,77.651295,3,80
Super built-up  Area,18-Dec,4,2750.929368,"Sikandra,Agra",3,27.216013,77.950834,1,74
Super built-up  Area,18-Jun,3,1811.196487,"Kanke,Ranchi",2,23.35556,85.33472,2,99
Plot  Area,Ready To Move,2,1045.036079,"Narendrapur,Kolkata",3,22.43917,88.39583,3,42
Super built-up  Area,Ready To Move,3,3433.996566,"Sector-65 Gurgaon,Gurgaon",3,28.403138,77.070052,2,340
Super built-up  Area,Ready To Move,3,1298.219585,"Electronics City Phase 1,Bangalore",3,12.840956,77.659441,1,70
Super built-up  Area,18-Mar,2,1109.165207,"Katapady,Udupi",4,13.278237,74.747328,0,38
Built-up  Area,Ready To Move,4,1304.034182,"Kanchpada,Maharashtra",4,18.96,72.82,2,470
Super built-up  Area,22-Dec,2,1041.195111,"Sector-70 Noida,Noida",2,28.59632,77.38143,2,46
Built-up  Area,Ready To Move,3,2135.748916,"Sector 82 Faridabad,Faridabad",2,28.394375,77.357227,1,83.7
Built-up  Area,Ready To Move,3,1850.180505,"Noida Extension,Noida",3,28.579004,77.431173,2,82
Super built-up  Area,22-Jan,3,1665.080875,"Kudasan,Gandhinagar",2,23.166495,72.63429,1,70
Super built-up  Area,Ready To Move,2,398.2621289,"Purseni,Lucknow",2,26.707154,80.982346,1,11
Plot  Area,Ready To Move,2,1005.025126,"Chandapura,Bangalore",7,12.80009,77.71182,0,48
Built-up  Area,Ready To Move,4,4900.959771,"Kharadi,Pune",3,18.5438,73.9438,3,240
Plot  Area,Ready To Move,2,1294.016156,"4 Bunglows,Mumbai",3,19.128324,72.825408,1,330
Super built-up  Area,Ready To Move,3,1536.806516,"Sector-3 Vaishali,Ghaziabad",1,28.6423,77.3445,1,100
Plot  Area,Ready To Move,2,1123.188406,"Kaggadasapura,Bangalore",4,12.9816,77.6729,0,62
Super built-up  Area,Ready To Move,2,800.1939864,"Jhotwara,Jaipur",3,26.955346,75.734793,2,16.5
Built-up  Area,Ready To Move,4,2655.807365,"Manpada,Maharashtra",2,19.239813,72.962722,1,300
Super built-up  Area,18-Aug,3,1513.775356,"JP Nagar,Bangalore",2,12.905368,77.580403,1,100
Super built-up  Area,19-Mar,3,1280,"Ponekkara,Kochi",2,9.930471,76.271273,0,48
Super built-up  Area,18-May,1,410.0678733,"Sector-18 Vrindavan Colony,Lucknow",3,28.568846,77.324966,1,14.5
Super built-up  Area,19-Jan,4,3429.355281,"Vasna Road,Vadodara",2,22.312063,72.674296,2,100
Built-up  Area,Ready To Move,2,890.0451869,"Sector-25 Khandeshhwar,Mumbai",8,28.582887,77.339935,,65
Super built-up  Area,19-Dec,2,977.7082519,"Bicholi Mardana,Indore",5,22.1764,75.8193,1,25
Super built-up  Area,Ready To Move,2,1099.855282,"Syndicate Bank Colony,Bangalore",3,12.977126,77.577724,1,38
Super built-up  Area,Ready To Move,2,1050.241272,"Paota,Jodhpur",2,26.29564,73.03943,1,37
Super built-up  Area,17-Jul,3,1400.241838,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,1,57.9
Super built-up  Area,Ready To Move,3,1740.139211,"Sector 19 Kharghar,Mumbai",7,19.048979,73.078232,2,180
Super built-up  Area,Ready To Move,2,1149.131767,"Marol,Lalitpur",3,24.69028,78.41889,,180
Super built-up  Area,Ready To Move,2,650.1950585,"Vadavalli,Coimbatore",2,11.026678,76.903583,1,20
Super built-up  Area,Ready To Move,2,1355.01355,"Gopalpura Bypass,Jaipur",3,26.878068,75.779856,3,85
Plot  Area,Ready To Move,3,1800.072003,"Rasanna Colony,Bangalore",5,12.96991,77.59796,,150
Super built-up  Area,19-Apr,2,907.6305221,"Taloja,Maharashtra",4,21.56128,74.21238,2,33.9
Super built-up  Area,Ready To Move,3,1636.296021,"Budigere,Bangalore",2,13.141581,77.749756,1,88
Super built-up  Area,18-May,2,900.2520706,"Tarsali,Vadodara",2,22.261354,73.215533,3,25
Super built-up  Area,Ready To Move,2,1318.044023,"Doddakannelli,Bangalore",4,12.905538,77.694263,,100
Super built-up  Area,Ready To Move,3,1949.586451,"Sector-88 Mohali,Mohali",2,30.684523,76.691728,2,99
Super built-up  Area,18-Jul,3,1643.36522,"Kakkanad,Kochi",2,9.930471,76.271273,1,67
Super built-up  Area,Ready To Move,3,1233.045623,"Kanjur Marg (East),Maharashtra",2,18.96,72.82,2,210
Super built-up  Area,Ready To Move,1,655.0802139,"Sector 20 Ulwe,Maharashtra",3,18.964489,73.019574,3,49
Super built-up  Area,Ready To Move,2,1180.173092,"Ferrar Nagar,Bangalore",3,12.96991,77.59796,1,75
Plot  Area,Ready To Move,3,1200.087279,"Sahibabad,Ghaziabad",4,28.6711,77.3683,0,55
Built-up  Area,Ready To Move,4,6974.645114,"New Alipore,Kolkata",2,22.53028,88.33417,3,1700
Super built-up  Area,18-May,4,2700.075602,"Sector-98 Noida,Noida",2,28.535689,77.359671,1,250
Super built-up  Area,Ready To Move,2,850.0991782,"Ajmer Road,Jaipur",3,26.928785,75.828002,1,30
Built-up  Area,Ready To Move,4,2636.296531,"Konanakunte,Bangalore",4,12.8855,77.5638,2,250
Super built-up  Area,Ready To Move,2,900.0163639,"Roopena Agrahara,Bangalore",3,12.928575,77.585721,1,55
Super built-up  Area,18-Dec,4,2472.952087,"NIBM,Pune",2,18.475864,73.890009,0,160
Super built-up  Area,Ready To Move,2,904.0656205,"Suraksha Nagar,Bangalore",2,20.098413,79.10786,2,50.7
Super built-up  Area,Ready To Move,1,265.0033933,"Andheri (East),Lalitpur",2,19.1145,72.8712,1,82
Built-up  Area,Ready To Move,3,1570.306924,"Tonk Road,Jaipur",2,26.16667,75.78333,1,110
Built-up  Area,Ready To Move,2,955.4140127,"Hiranandani Estate,Lalitpur",2,19.255098,72.9815265,2,150
Super built-up  Area,Ready To Move,2,1000,"Sector-53 Noida,Noida",6,28.593566,77.362752,0,60
Super built-up  Area,Ready To Move,4,2494.747899,"Kadugodi,Bangalore",1,12.995285,77.766797,1,95
Super built-up  Area,18-Apr,2,1150.130348,"Villivakkam Near ICF Bus Stand,Chennai",2,13.1101,80.2095,1,75
Super built-up  Area,Ready To Move,2,1210.136674,"Kamothe,Mumbai",2,19.0168,73.09646,1,85
Super built-up  Area,Ready To Move,2,1365.001365,"Sector-11 Ghansoli,Mumbai",3,19.126499,72.99956,3,200
Plot  Area,Ready To Move,2,499.6366279,"Hiranandani Estate,Maharashtra",3,19.255098,72.9815265,2,110
Plot  Area,Ready To Move,2,1050.144395,"Manjalpur,Vadodara",3,22.271214,73.188827,2,40
Plot  Area,Ready To Move,1,476.0204689,"Madanandapuram,Chennai",1,13.020957,80.152774,0,40
Super built-up  Area,Ready To Move,2,985.452839,"Hajipur,Noida",1,28.538774,77.366515,2,21
Built-up  Area,Ready To Move,2,1045.296167,"Sector 77 Faridabad,Faridabad",1,28.368269,77.37273,1,24
Super built-up  Area,Ready To Move,2,1301.89498,"Sarjapur Road,Bangalore",2,12.86,77.786,3,90
Super built-up  Area,Ready To Move,2,2000,"Alwar Bypass Road,Bhiwadi",3,28.2102,76.8606,2,38
Super built-up  Area,Ready To Move,4,4465.709729,"Sector-108 Noida,Noida",3,28.526624,77.376718,2,280
Super built-up  Area,21-Jun,2,1192,"Nayapalli,Bhubaneswar",3,20.286571,85.810906,2,59.6
Super built-up  Area,Ready To Move,3,1846.153846,"New Town,Kolkata",2,22.5922,88.484911,1,120
Plot  Area,Ready To Move,1,448.5310608,"Kanjur Marg (East),Mumbai",3,19.221571,73.042474,2,120
Super built-up  Area,Ready To Move,2,750.0604887,"Gyan Khand 2,Ghaziabad",2,28.66667,77.41667,2,31
Built-up  Area,Ready To Move,2,1060.070671,"Roadpali,Maharashtra",2,19.040066,73.115347,1,72
Super built-up  Area,Ready To Move,3,1415.09434,"Electronic City Phase II,Bangalore",2,12.8458,77.6727,0,79.5
Super built-up  Area,Ready To Move,2,1160.062565,"Sector-35G Kharghar,Maharashtra",2,18.96,72.82,2,89
Built-up  Area,18-Dec,3,1690.024732,"Goregaon (East),Lalitpur",4,19.1615,72.8731,1,410
Super built-up  Area,Ready To Move,3,1672.762741,"Sector-143B Noida,Noida",2,28.495803,77.426848,3,68.6
Plot  Area,Ready To Move,2,1315.265046,"RM Park,Valsad",5,20.606469,72.913465,,33
Plot  Area,Ready To Move,1,650.026001,"Kalyan (West),Mumbai",7,19.245347,73.124577,1,50
Super built-up  Area,Ready To Move,1,540.1755571,"Saphale,Palghar",2,19.585537,72.836868,2,16
Super built-up  Area,Ready To Move,3,1830.065359,"Suraksha Nagar,Bangalore",2,20.098413,79.10786,2,98
Super built-up  Area,Ready To Move,3,1575.157516,"Judges Enclave,Ghaziabad",2,28.66667,77.41667,2,70
Built-up  Area,Ready To Move,3,1530,"Harlur Road,Bangalore",3,12.904179,77.665897,1,76.5
Super built-up  Area,Ready To Move,2,619.6377502,"Byagadadhenahalli,Bangalore",3,12.758604,77.700377,2,26
Super built-up  Area,Ready To Move,4,2200,"Citylight Area,Surat",2,21.17,72.83,1,110
Super built-up  Area,Ready To Move,3,1757.188498,"Action Area IID,Kolkata",2,40.67197199,-86.15292909,2,77
Super built-up  Area,Ready To Move,2,1087.885617,"Manpada,Mumbai",2,19.239813,72.962722,1,140
Built-up  Area,Ready To Move,2,1199.862873,"Doddakallasandra,Bangalore",2,12.880993,77.557654,2,70
Super built-up  Area,Ready To Move,2,1265.035255,"Bhuvaneshwari Nagar,Bangalore",2,13.033421,77.603954,1,61
Built-up  Area,Ready To Move,2,676.0453302,"Ganganagar,Kolkata",2,22.301625,88.242147,2,17.3
Super built-up  Area,Ready To Move,2,800,"Mohan Nagar,Ghaziabad",2,28.678014,77.38296,2,42
Super built-up  Area,Ready To Move,2,750.0750075,"Maheshtala,Kolkata",3,22.486821,88.233267,2,25
Super built-up  Area,Ready To Move,2,1500,"Anna Nagar West,Chennai",2,13.086769,80.191135,1,150
Built-up  Area,Ready To Move,3,1814.285714,"Khandagiri,Bhubaneswar",2,20.257483,85.780142,2,88.9
Plot  Area,Ready To Move,3,1195.652174,"Ghodbunder Road,Lalitpur",6,24.69028,78.41889,0,110
Super built-up  Area,20-May,3,1395.032324,"Raj Nagar Extension,Ghaziabad",4,26.900926,75.775927,1,41
Super built-up  Area,Ready To Move,2,850.1594049,"Palghar,Palghar",3,19.696531,72.767746,2,24
Built-up  Area,18-Jun,2,909.4339623,"Keelkattalai,Chennai",3,12.957707,80.183671,2,48.2
Super built-up  Area,Ready To Move,2,910.0937672,"Ramna,Varanasi",3,25.248438,83.014116,2,33
Super built-up  Area,Ready To Move,3,1850.070303,"Aga Abbas Ali Road,Bangalore",3,12.96991,77.59796,3,250
Super built-up  Area,Ready To Move,3,2069.857697,"Sector-107 Noida,Noida",2,28.546788,77.378494,1,160
Built-up  Area,Ready To Move,2,820.0082001,"Thane West,Mumbai",6,19.18,72.96333,0,140
Super built-up  Area,Ready To Move,2,1241.80752,"Sargasan,Gandhinagar",1,23.182972,72.611485,1,36
Super built-up  Area,Ready To Move,3,1014.120668,"Kharadi,Maharashtra",3,18.5438,73.9438,3,79
Super built-up  Area,18-Dec,4,2302.158273,"Sector-70 Mohali,Mohali",3,30.697795,76.714722,2,160
Super built-up  Area,Ready To Move,2,900.0782677,"Sector 35I Kharghar,Lalitpur",3,24.69028,78.41889,2,69
Super built-up  Area,Ready To Move,2,898.5074627,"Jalukbari,Guwahati",2,26.154874,91.670312,3,30.1
Built-up  Area,Ready To Move,3,2235.294118,"C-Scheme,Jaipur",4,26.91667,75.86667,1,190
Super built-up  Area,19-Mar,3,1350,"Sector-50 Noida,Noida",2,28.5679,77.3679,1,81
Super built-up  Area,19-Dec,2,1100.110011,"Warje,Pune",,18.485487,73.803773,,70
Super built-up  Area,Ready To Move,1,612.1199755,"Mambakkam,Chennai",4,12.8356,80.1682,2,30
Built-up  Area,Ready To Move,2,1100.352113,"Sai Nagar,Amravati",2,20.892133,77.741664,2,25
Plot  Area,Ready To Move,5,5194.805195,"Sector-128 Noida,Noida",2,28.522931,77.357078,1,400
Super built-up  Area,Ready To Move,3,1475.256769,"Sector-137 Noida,Noida",3,28.506454,77.409568,2,79
Super built-up  Area,19-Aug,4,2780.191138,"Sector-79 Noida,Noida",2,28.558047,77.392752,1,160
Super built-up  Area,Ready To Move,1,300.0260892,"Kachimet,Lalitpur",2,24.69028,78.41889,2,11.5
Super built-up  Area,Ready To Move,2,1000,"Venkojipalem,Visakhapatnam",2,17.7,83.25,2,50
Super built-up  Area,Ready To Move,2,1532.720245,"Goregaon (East),Mumbai",2,19.1615,72.8731,2,230
Built-up  Area,Ready To Move,2,995.8314034,"Sevasi,Vadodara",2,22.311323,73.121275,2,21.5
Super built-up  Area,Ready To Move,3,1646.706587,"Sector-90 Gurgaon,Gurgaon",2,28.406794,76.936447,2,110
Super built-up  Area,Ready To Move,4,2350.965575,"Sunny Enclave,Mohali",2,30.664299,76.817624,1,56
Super built-up  Area,18-Apr,3,534.061239,"Sector 55 Faridabad,Faridabad",2,28.34532,77.299035,2,45
Super built-up  Area,21-Jun,2,1100,"Majiwada,Mumbai",3,19.218498,72.992114,1,110
Built-up  Area,Ready To Move,3,1968.888889,"GS Road,Guwahati",5,26.16667,91.76667,2,88.6
Built-up  Area,Ready To Move,3,2196.354052,"Sector-110 Noida,Noida",2,28.536585,77.383669,2,100
Super built-up  Area,18-Aug,4,2400,"Laxmi Nagar,Mumbai",1,22.281215,70.789479,1,300
Plot  Area,Ready To Move,2,1650.252861,"Hadapsar,Pune",8,18.49667,73.94167,2,62
Super built-up  Area,18-Sep,2,632.0572845,"Vasai East,Mumbai",1,19.402549,72.854418,1,45.9
Super built-up  Area,Ready To Move,2,1034.965035,"Chinhat,Lucknow",3,26.882832,81.033767,3,37
Super built-up  Area,Ready To Move,2,965.0439631,"kavesar,Maharashtra",2,18.96,72.82,3,90
Plot  Area,Ready To Move,2,600.5495224,"Sus,Lalitpur",3,24.69028,78.41889,1,45.9
Super built-up  Area,Ready To Move,2,984.8484848,"Hiranandani Estate,Mumbai",2,19.255098,72.9815265,1,130
Super built-up  Area,Ready To Move,3,1700.060716,"Chembur,Mumbai",3,19.05871,72.89969,1,420
Plot  Area,17-May,1,546.0145604,"Thane West,Mumbai",3,19.18,72.96333,2,58.5
Super built-up  Area,Ready To Move,2,1195.499297,"Karamsad,Anand",3,22.55,72.9,2,17
Super built-up  Area,Ready To Move,3,1677.468547,"Thakur Village,Mumbai",1,18.914541,72.818211,1,220
Built-up  Area,Ready To Move,3,1699.716714,"Crossing Republik,Ghaziabad",2,28.629811,77.434197,2,48
Super built-up  Area,Ready To Move,2,1075.027996,"sector-121 Noida,Noida",2,28.602325,77.401994,2,48
Super built-up  Area,18-Jun,1,485.790072,"Balkum,Mumbai",2,19.222101,72.988231,2,64.1
Built-up  Area,Ready To Move,2,929.8998569,"Rajarajeshwari Nagar,Bangalore",2,12.919423,77.522774,1,52
Plot  Area,Ready To Move,3,1438.021283,"Hiranandani Gardens - Powai,Lalitpur",2,19.124896,72.893503,0,600
Built-up  Area,Ready To Move,5,5299.954894,"Iblur Village,Bangalore",2,12.91668,77.59196,2,470
